,county,TOTAL DOLLAR AMOUNT OF CLAIMS
444,Kosciusko,8207451.96
445,Lake,12100959.0
446,LaGrange,1147820.2
447,Steuben,1147820.2
448,Wabash,2308776.85
449,Huntington,2308776.85
450,Rush,596990.72
451,Rush,647990.28
452,Shelby,647990.28
453,Brown,631039.94
454,Monroe,631039.94
455,Porter,16612149.65
456,Monroe,39822307.5
457,Tipton,1204469.5
458,Blackford,2879965.66
459,Delaware,2879965.66
460,Monroe,690876.62
461,Lawrence,690876.62
462,Jackson,690876.62
463,Marion,59529627.19
464,Jasper,772489.92
465,White,772489.92
466,Vanderburgh,16317230.0
467,Kosciusko,2854485.03
468,Whitley,2854485.03
469,Crawford,573664.14
470,Wayne,340843.59
471,Clinton,698748.28
472,Tippecanoe,698748.28
473,Grant,44909169.9
474,Harrison,1944888.96
475,Floyd,1944888.96
476,Ripley,29240827.79
477,Switzerland,29240827.79
478,Jefferson,29240827.79
479,Kosciusko,31122778.74
480,Benton,1347595.02
481,Newton,1347595.02
482,Jasper,1347595.02
483,Randolph,1762789.5
484,Jay,1762789.5
485,Ripley,29654026.18
486,Decatur,29654026.18
487,Franklin,29654026.18
488,Ohio,487430.91
489,Switzerland,487430.91
490,Johnson,36862376.0
491,Crawford,188983.82
492,Lake,19654907.59
493,Pike,894698.74
494,Dubois,894698.74
495,Perry,4409339.56
496,Crawford,4409339.56
497,Orange,4409339.56
498,Delaware,6037051.93
499,Madison,1570714.77
500,Allen,18937645.66
501,DeKalb,18937645.66
502,Elkhart,9283994.76
503,Greene,16818950.76
504,Crawford,2373499.57
505,Washington,2373499.57
506,Franklin,4799930.06
507,Fayette,4799930.06
508,St. Joseph,28041036.14
509,Shelby,3822740.5
510,Marion,23955907.79
511,Lake,13170348.89
512,Dubois,199660.54
513,Wabash,475034.31
514,Orange,15478884.4
515,Monroe,1362594.91
516,Lawrence,1362594.91
517,Johnson,41068812.63
518,Shelby,41068812.63
519,Wayne,1351242.77
520,Henry,1351242.77
521,Delaware,12564122.06
522,Knox,1863708.79
523,Parke,1584700.04
524,Porter,58075814.88
525,LaPorte,58075814.88
526,Marion,39247666.65
527,Spencer,228114.78
528,Parke,504589.87
529,LaGrange,1066584.6
530,Elkhart,1066584.6
531,St. Joseph,17714090.75
532,Elkhart,1299894.2
533,Pike,7880926.84
534,Gibson,7880926.84
535,Kosciusko,215565.71
536,Spencer,327280.11
537,Harrison,885039.0
538,Montgomery,332311.2
539,Tippecanoe,332311.2
